Date : 2024/09/17 16:56:09
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 7
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	1.14	-0.02	1.40	
1346.00	33.00	2.67	38.45	-11.36	1.16	-0.04	1.36	
1409.00	33.00	5.30	38.38	-10.66	1.17	-0.08	1.32	
1472.00	33.00	8.04	38.52	-12.67	1.17	-0.11	1.22	
1535.00	33.00	10.82	38.67	-14.29	1.10	-0.14	1.10	
1031.00	96.00	-10.73	35.89	-13.38	1.06	0.12	1.45	
1094.00	96.00	-7.96	35.82	-11.58	1.08	0.09	1.46	
1157.00	96.00	-5.26	35.74	-10.32	1.12	0.06	1.50	
1220.00	96.00	-2.61	35.71	-9.69	1.15	0.03	1.49	
1283.00	96.00	0.01	35.68	-9.27	1.18	-0.01	1.47	
1346.00	96.00	2.63	35.66	-8.85	1.22	-0.06	1.40	
1409.00	96.00	5.22	35.64	-8.25	1.23	-0.10	1.35	
1472.00	96.00	7.90	35.72	-9.58	1.23	-0.14	1.26	
1535.00	96.00	10.64	35.83	-11.27	1.18	-0.16	1.15	
1598.00	96.00	13.49	35.97	-13.52	1.04	-0.17	0.95	
1661.00	96.00	16.42	36.08	-15.86	0.88	-0.19	0.66	
968.00	159.00	-13.42	33.18	-13.00	1.05	0.13	1.42	
1031.00	159.00	-10.59	33.09	-10.82	1.07	0.09	1.45	
1094.00	159.00	-7.87	33.08	-9.24	1.11	0.04	1.49	
1157.00	159.00	-5.21	33.05	-8.19	1.14	0.02	1.49	
1220.00	159.00	-2.59	33.02	-7.76	1.16	-0.01	1.44	
1283.00	159.00	0.01	33.00	-7.27	1.18	-0.05	1.36	
1346.00	159.00	2.59	32.99	-6.78	1.23	-0.11	1.32	
1409.00	159.00	5.15	32.97	-6.02	1.25	-0.16	1.26	
1472.00	159.00	7.80	33.05	-7.38	1.24	-0.19	1.19	
1535.00	159.00	10.50	33.10	-8.74	1.22	-0.21	1.10	
1598.00	159.00	13.29	33.20	-10.71	1.16	-0.22	1.02	
1661.00	159.00	16.20	33.31	-13.21	0.96	-0.20	0.71	
1724.00	159.00	19.08	33.38	-14.75	0.82	-0.21	0.49	
968.00	222.00	-13.29	30.47	-10.92	1.01	0.11	1.28	
1031.00	222.00	-10.51	30.42	-9.11	1.07	0.05	1.38	
1094.00	222.00	-7.82	30.46	-7.84	1.12	0.01	1.45	
1157.00	222.00	-5.19	30.41	-7.08	1.14	-0.02	1.37	
1220.00	222.00	-2.58	30.39	-6.29	1.16	-0.05	1.30	
1283.00	222.00	0.00	30.43	-5.08	1.24	-0.12	1.34	
1346.00	222.00	2.56	30.38	-4.72	1.26	-0.17	1.26	
1409.00	222.00	5.13	30.39	-4.89	1.24	-0.19	1.12	
1472.00	222.00	7.74	30.43	-5.87	1.21	-0.21	1.02	
1535.00	222.00	10.43	30.49	-7.46	1.17	-0.23	0.91	
1598.00	222.00	13.17	30.53	-8.97	1.13	-0.24	0.83	
1661.00	222.00	16.03	30.59	-11.15	1.04	-0.24	0.72	
1724.00	222.00	18.98	30.68	-13.55	0.87	-0.23	0.48	
905.00	285.00	-16.06	27.89	-11.67	0.97	0.14	1.13	
