Date : 2024/09/17 16:56:09
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 8
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	0.78	-0.10	1.36	
1346.00	33.00	2.67	38.45	-11.36	0.82	-0.11	1.35	
1409.00	33.00	5.30	38.38	-10.66	0.83	-0.13	1.32	
1472.00	33.00	8.04	38.52	-12.67	0.83	-0.15	1.22	
1535.00	33.00	10.82	38.67	-14.29	0.78	-0.17	1.11	
1031.00	96.00	-10.73	35.89	-13.38	0.73	0.00	1.39	
1094.00	96.00	-7.96	35.82	-11.58	0.73	-0.01	1.40	
1157.00	96.00	-5.26	35.74	-10.32	0.76	-0.04	1.43	
1220.00	96.00	-2.61	35.71	-9.69	0.79	-0.05	1.44	
1283.00	96.00	0.01	35.68	-9.27	0.82	-0.08	1.43	
1346.00	96.00	2.63	35.66	-8.85	0.86	-0.12	1.37	
1409.00	96.00	5.22	35.64	-8.25	0.89	-0.16	1.34	
1472.00	96.00	7.90	35.72	-9.58	0.89	-0.18	1.26	
1535.00	96.00	10.64	35.83	-11.27	0.86	-0.19	1.17	
1598.00	96.00	13.49	35.97	-13.52	0.74	-0.18	0.99	
1661.00	96.00	16.42	36.08	-15.86	0.61	-0.20	0.72	
968.00	159.00	-13.42	33.18	-13.00	0.71	0.01	1.33	
1031.00	159.00	-10.59	33.09	-10.82	0.73	-0.03	1.36	
1094.00	159.00	-7.87	33.08	-9.24	0.75	-0.06	1.40	
1157.00	159.00	-5.21	33.05	-8.19	0.78	-0.08	1.40	
1220.00	159.00	-2.59	33.02	-7.76	0.80	-0.09	1.37	
1283.00	159.00	0.01	33.00	-7.27	0.83	-0.13	1.31	
1346.00	159.00	2.59	32.99	-6.78	0.88	-0.18	1.29	
1409.00	159.00	5.15	32.97	-6.02	0.90	-0.21	1.24	
1472.00	159.00	7.80	33.05	-7.38	0.90	-0.23	1.18	
1535.00	159.00	10.50	33.10	-8.74	0.88	-0.24	1.10	
1598.00	159.00	13.29	33.20	-10.71	0.84	-0.24	1.04	
1661.00	159.00	16.20	33.31	-13.21	0.68	-0.21	0.77	
1724.00	159.00	19.08	33.38	-14.75	0.57	-0.21	0.57	
968.00	222.00	-13.29	30.47	-10.92	0.68	-0.01	1.19	
1031.00	222.00	-10.51	30.42	-9.11	0.72	-0.06	1.26	
1094.00	222.00	-7.82	30.46	-7.84	0.76	-0.09	1.33	
1157.00	222.00	-5.19	30.41	-7.08	0.78	-0.11	1.28	
1220.00	222.00	-2.58	30.39	-6.29	0.81	-0.13	1.23	
1283.00	222.00	0.00	30.43	-5.08	0.89	-0.19	1.29	
1346.00	222.00	2.56	30.38	-4.72	0.90	-0.24	1.21	
1409.00	222.00	5.13	30.39	-4.89	0.88	-0.25	1.09	
1472.00	222.00	7.74	30.43	-5.87	0.87	-0.25	1.02	
1535.00	222.00	10.43	30.49	-7.46	0.84	-0.26	0.92	
1598.00	222.00	13.17	30.53	-8.97	0.81	-0.26	0.86	
1661.00	222.00	16.03	30.59	-11.15	0.75	-0.25	0.77	
1724.00	222.00	18.98	30.68	-13.55	0.60	-0.23	0.56	
905.00	285.00	-16.06	27.89	-11.67	0.65	0.02	1.03	
968.00	285.00	-13.23	27.84	-9.81	0.68	-0.02	1.11	
1031.00	285.00	-10.47	27.80	-8.14	0.73	-0.07	1.19	
1094.00	285.00	-7.81	27.83	-7.12	0.76	-0.10	1.21	
1157.00	285.00	-5.18	27.82	-6.25	0.79	-0.13	1.16	
1220.00	285.00	-2.56	27.83	-4.45	0.87	-0.18	1.20	
1283.00	285.00	-0.00	27.85	-3.43	0.88	-0.23	1.15	
1346.00	285.00	2.55	27.85	-3.83	0.88	-0.25	1.04	
1409.00	285.00	5.11	27.86	-4.00	0.89	-0.26	0.99	
1472.00	285.00	7.68	27.88	-4.25	0.89	-0.28	0.96	
1535.00	285.00	10.34	27.89	-5.72	0.85	-0.27	0.85	
1598.00	285.00	13.09	27.91	-7.69	0.79	-0.27	0.75	
1661.00	285.00	15.89	27.94	-9.42	0.77	-0.27	0.68	
1724.00	285.00	18.83	27.97	-11.89	0.69	-0.26	0.60	
1787.00	285.00	21.89	28.00	-14.62	0.60	-0.23	0.51	
905.00	348.00	-16.12	25.22	-11.98	0.62	0.02	0.94	
968.00	348.00	-13.24	25.22	-9.50	0.68	-0.02	1.09	
1031.00	348.00	-10.49	25.21	-8.06	0.74	-0.07	1.13	
1094.00	348.00	-7.79	25.21	-6.40	0.77	-0.10	1.11	
1157.00	348.00	-5.14	25.23	-4.64	0.82	-0.14	1.12	
1220.00	348.00	-2.55	25.32	-3.04	0.86	-0.20	1.10	
1283.00	348.00	-0.01	25.32	-2.44	0.88	-0.24	1.04	
1346.00	348.00	2.53	25.32	-2.54	0.89	-0.26	0.99	
1409.00	348.00	5.08	25.32	-2.73	0.90	-0.28	0.94	
1472.00	348.00	7.60	25.35	-2.39	0.90	-0.29	0.89	
1535.00	348.00	10.26	25.33	-4.23	0.87	-0.29	0.81	
1598.00	348.00	12.96	25.35	-5.73	0.84	-0.29	0.75	
1661.00	348.00	15.73	25.35	-7.48	0.81	-0.29	0.68	
1724.00	348.00	18.68	25.32	-10.15	0.71	-0.28	0.55	
1787.00	348.00	21.76	25.30	-13.18	0.59	-0.25	0.38	
842.00	411.00	-18.76	22.55	-10.99	0.57	0.09	0.78	
905.00	411.00	-16.14	22.50	-11.72	0.60	0.03	0.90	
968.00	411.00	-13.29	22.55	-9.78	0.68	-0.02	1.04	
1031.00	411.00	-10.52	22.60	-8.07	0.73	-0.07	1.04	
1094.00	411.00	-7.79	22.66	-5.97	0.79	-0.11	1.06	
1157.00	411.00	-5.12	22.74	-3.62	0.83	-0.16	1.06	
1220.00	411.00	-2.54	22.81	-1.92	0.87	-0.20	1.03	
1283.00	411.00	-0.01	22.85	-1.14	0.89	-0.25	0.99	
1346.00	411.00	2.52	22.86	-1.38	0.89	-0.27	0.93	
1409.00	411.00	5.05	22.84	-1.71	0.89	-0.28	0.86	
1472.00	411.00	7.57	22.85	-1.43	0.90	-0.29	0.83	
1535.00	411.00	10.22	22.80	-3.21	0.87	-0.30	0.74	
1598.00	411.00	12.91	22.81	-4.70	0.83	-0.30	0.67	
1661.00	411.00	15.63	22.81	-6.10	0.81	-0.30	0.60	
1724.00	411.00	18.54	22.72	-8.62	0.78	-0.28	0.60	
1787.00	411.00	21.62	22.63	-11.76	0.60	-0.26	0.32	
842.00	474.00	-18.76	19.89	-10.61	0.55	0.11	0.74	
905.00	474.00	-16.11	19.84	-11.00	0.58	0.04	0.82	
968.00	474.00	-13.30	19.89	-9.49	0.65	-0.02	0.92	
1031.00	474.00	-10.49	20.03	-7.15	0.73	-0.07	0.96	
1094.00	474.00	-7.73	20.21	-4.37	0.80	-0.11	1.03	
1157.00	474.00	-5.10	20.25	-2.56	0.83	-0.16	0.99	
1220.00	474.00	-2.53	20.36	-0.56	0.89	-0.21	1.02	
1283.00	474.00	-0.01	20.42	0.29	0.90	-0.25	0.95	
1346.00	474.00	2.50	20.40	-0.11	0.90	-0.26	0.90	
1409.00	474.00	5.02	20.36	-0.48	0.91	-0.28	0.85	
1472.00	474.00	7.53	20.41	-0.37	0.91	-0.30	0.81	
1535.00	474.00	10.16	20.34	-1.98	0.89	-0.30	0.72	
1598.00	474.00	12.83	20.27	-3.40	0.85	-0.30	0.65	
1661.00	474.00	15.56	20.23	-4.98	0.82	-0.30	0.57	
1724.00	474.00	18.43	20.16	-7.25	0.78	-0.29	0.51	
1787.00	474.00	21.47	20.01	-10.27	0.63	-0.27	0.32	
842.00	537.00	-18.66	17.35	-9.28	0.53	0.09	0.55	
905.00	537.00	-16.03	17.27	-9.75	0.52	0.04	0.57	
968.00	537.00	-13.25	17.32	-8.51	0.63	-0.02	0.78	
1031.00	537.00	-10.39	17.58	-5.17	0.76	-0.06	0.97	
1094.00	537.00	-7.69	17.70	-2.97	0.80	-0.12	0.96	
1157.00	537.00	-5.07	17.79	-1.13	0.84	-0.17	0.95	
1220.00	537.00	-2.52	17.85	0.33	0.90	-0.21	0.98	
1283.00	537.00	-0.02	17.98	1.43	0.90	-0.25	0.90	
1346.00	537.00	2.48	17.98	1.26	0.90	-0.26	0.87	
1409.00	537.00	5.00	17.94	0.51	0.92	-0.28	0.82	
1472.00	537.00	7.50	17.94	0.66	0.92	-0.30	0.77	
1535.00	537.00	10.10	17.89	-0.76	0.90	-0.30	0.69	
1598.00	537.00	12.73	17.82	-1.89	0.88	-0.31	0.62	
1661.00	537.00	15.46	17.72	-3.61	0.84	-0.30	0.56	
1724.00	537.00	18.29	17.60	-5.72	0.79	-0.30	0.47	
1787.00	537.00	21.37	17.41	-9.06	0.67	-0.27	0.34	
905.00	600.00	-15.89	14.76	-7.88	0.58	0.02	0.65	
968.00	600.00	-13.14	14.85	-6.59	0.64	-0.02	0.80	
1031.00	600.00	-10.33	15.08	-3.73	0.75	-0.06	0.96	
1094.00	600.00	-7.67	15.15	-2.16	0.77	-0.11	0.89	
1157.00	600.00	-5.05	15.38	0.13	0.84	-0.16	0.93	
1220.00	600.00	-2.51	15.49	1.58	0.89	-0.21	0.94	
1283.00	600.00	-0.02	15.57	2.23	0.89	-0.24	0.87	
1346.00	600.00	2.48	15.50	1.59	0.89	-0.26	0.81	
1409.00	600.00	4.99	15.46	1.14	0.91	-0.28	0.78	
1472.00	600.00	7.48	15.49	1.32	0.91	-0.29	0.73	
1535.00	600.00	10.06	15.42	0.32	0.90	-0.31	0.67	
1598.00	600.00	12.67	15.33	-0.80	0.89	-0.31	0.59	
1661.00	600.00	15.38	15.24	-2.42	0.86	-0.31	0.53	
1724.00	600.00	18.26	15.04	-5.02	0.79	-0.30	0.44	
1787.00	600.00	21.29	14.81	-8.05	0.70	-0.27	0.33	
968.00	663.00	-13.01	12.42	-4.61	0.66	-0.01	0.82	
1031.00	663.00	-10.26	12.64	-2.29	0.70	-0.04	0.92	
1094.00	663.00	-7.61	12.65	-0.48	0.77	-0.09	0.92	
1157.00	663.00	-5.03	12.96	1.22	0.85	-0.15	0.94	
1220.00	663.00	-2.51	13.11	2.37	0.88	-0.20	0.89	
1283.00	663.00	-0.02	13.09	2.35	0.87	-0.23	0.81	
1346.00	663.00	2.48	13.01	1.77	0.88	-0.25	0.76	
1409.00	663.00	5.00	12.97	1.40	0.90	-0.28	0.74	
1472.00	663.00	7.50	12.97	1.37	0.89	-0.30	0.67	
1535.00	663.00	10.07	12.92	0.59	0.88	-0.31	0.61	
1598.00	663.00	12.67	12.85	-0.36	0.86	-0.31	0.55	
1661.00	663.00	15.37	12.70	-1.90	0.84	-0.31	0.46	
1724.00	663.00	18.28	12.43	-4.79	0.76	-0.29	0.37	
1787.00	663.00	21.27	12.20	-7.51	0.70	-0.26	0.31	
968.00	726.00	-12.91	9.99	-2.87	0.64	-0.01	0.80	
1031.00	726.00	-10.15	10.27	-0.13	0.68	-0.03	0.88	
1094.00	726.00	-7.55	10.46	1.31	0.77	-0.05	1.00	
1157.00	726.00	-5.02	10.50	1.79	0.85	-0.13	0.93	
1220.00	726.00	-2.51	10.61	2.51	0.87	-0.19	0.85	
1283.00	726.00	-0.01	10.55	2.16	0.86	-0.22	0.77	
1346.00	726.00	2.50	10.45	1.46	0.87	-0.25	0.71	
1409.00	726.00	5.01	10.46	1.53	0.87	-0.27	0.67	
1472.00	726.00	7.53	10.44	1.29	0.87	-0.29	0.61	
1535.00	726.00	10.09	10.39	0.61	0.85	-0.30	0.55	
1598.00	726.00	12.71	10.28	-0.38	0.84	-0.31	0.49	
1661.00	726.00	15.42	10.12	-1.97	0.81	-0.31	0.43	
1724.00	726.00	18.31	9.83	-4.56	0.74	-0.29	0.34	
1787.00	726.00	21.33	9.51	-7.52	0.67	-0.25	0.24	
968.00	789.00	-12.83	7.56	-1.40	0.63	-0.00	0.79	
1031.00	789.00	-10.13	7.83	0.70	0.67	-0.02	0.86	
1094.00	789.00	-7.55	7.98	1.75	0.77	-0.04	0.99	
1157.00	789.00	-5.03	8.00	1.86	0.84	-0.12	0.89	
1220.00	789.00	-2.52	8.01	1.96	0.84	-0.17	0.79	
1283.00	789.00	-0.01	7.96	1.65	0.84	-0.21	0.71	
1346.00	789.00	2.51	7.92	1.34	0.85	-0.24	0.65	
1409.00	789.00	5.02	7.95	1.71	0.85	-0.26	0.62	
1472.00	789.00	7.55	7.91	1.28	0.85	-0.28	0.56	
1535.00	789.00	10.12	7.85	0.70	0.83	-0.29	0.50	
1598.00	789.00	12.75	7.71	-0.44	0.81	-0.30	0.44	
1661.00	789.00	15.47	7.51	-2.06	0.77	-0.30	0.37	
1724.00	789.00	18.41	7.14	-4.98	0.71	-0.27	0.30	
1787.00	789.00	21.35	6.88	-7.17	0.63	-0.24	0.19	
968.00	852.00	-12.84	5.00	-1.13	0.62	-0.00	0.77	
1031.00	852.00	-10.16	5.26	0.61	0.65	-0.01	0.85	
