Date : 2024/09/17 16:56:11
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 12
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	0.15	-0.26	1.11	
1346.00	33.00	2.67	38.45	-11.36	0.17	-0.25	1.14	
1409.00	33.00	5.30	38.38	-10.66	0.18	-0.26	1.15	
1472.00	33.00	8.04	38.52	-12.67	0.18	-0.26	1.11	
1535.00	33.00	10.82	38.67	-14.29	0.14	-0.26	1.02	
1031.00	96.00	-10.73	35.89	-13.38	0.22	-0.22	1.12	
1094.00	96.00	-7.96	35.82	-11.58	0.19	-0.23	1.13	
1157.00	96.00	-5.26	35.74	-10.32	0.17	-0.24	1.13	
1220.00	96.00	-2.61	35.71	-9.69	0.17	-0.24	1.15	
1283.00	96.00	0.01	35.68	-9.27	0.19	-0.25	1.19	
1346.00	96.00	2.63	35.66	-8.85	0.20	-0.27	1.17	
1409.00	96.00	5.22	35.64	-8.25	0.22	-0.28	1.16	
1472.00	96.00	7.90	35.72	-9.58	0.22	-0.29	1.14	
1535.00	96.00	10.64	35.83	-11.27	0.20	-0.29	1.10	
1598.00	96.00	13.49	35.97	-13.52	0.14	-0.27	0.99	
1661.00	96.00	16.42	36.08	-15.86	0.05	-0.27	0.83	
968.00	159.00	-13.42	33.18	-13.00	0.25	-0.24	1.03	
1031.00	159.00	-10.59	33.09	-10.82	0.21	-0.26	1.03	
1094.00	159.00	-7.87	33.08	-9.24	0.16	-0.28	1.02	
1157.00	159.00	-5.21	33.05	-8.19	0.16	-0.28	1.06	
1220.00	159.00	-2.59	33.02	-7.76	0.18	-0.27	1.10	
1283.00	159.00	0.01	33.00	-7.27	0.18	-0.29	1.09	
1346.00	159.00	2.59	32.99	-6.78	0.21	-0.32	1.12	
1409.00	159.00	5.15	32.97	-6.02	0.22	-0.33	1.10	
1472.00	159.00	7.80	33.05	-7.38	0.21	-0.34	1.07	
1535.00	159.00	10.50	33.10	-8.74	0.21	-0.34	1.03	
1598.00	159.00	13.29	33.20	-10.71	0.19	-0.32	1.00	
1661.00	159.00	16.20	33.31	-13.21	0.10	-0.29	0.86	
1724.00	159.00	19.08	33.38	-14.75	0.03	-0.27	0.75	
968.00	222.00	-13.29	30.47	-10.92	0.23	-0.26	0.88	
1031.00	222.00	-10.51	30.42	-9.11	0.16	-0.29	0.86	
1094.00	222.00	-7.82	30.46	-7.84	0.15	-0.29	0.97	
1157.00	222.00	-5.19	30.41	-7.08	0.16	-0.30	0.97	
1220.00	222.00	-2.58	30.39	-6.29	0.18	-0.30	1.02	
1283.00	222.00	0.00	30.43	-5.08	0.24	-0.34	1.09	
1346.00	222.00	2.56	30.38	-4.72	0.21	-0.37	1.03	
1409.00	222.00	5.13	30.39	-4.89	0.21	-0.37	0.99	
1472.00	222.00	7.74	30.43	-5.87	0.20	-0.36	0.98	
1535.00	222.00	10.43	30.49	-7.46	0.18	-0.35	0.93	
1598.00	222.00	13.17	30.53	-8.97	0.16	-0.34	0.88	
1661.00	222.00	16.03	30.59	-11.15	0.13	-0.32	0.83	
1724.00	222.00	18.98	30.68	-13.55	0.06	-0.28	0.74	
905.00	285.00	-16.06	27.89	-11.67	0.27	-0.23	0.70	
968.00	285.00	-13.23	27.84	-9.81	0.21	-0.27	0.76	
1031.00	285.00	-10.47	27.80	-8.14	0.16	-0.29	0.77	
1094.00	285.00	-7.81	27.83	-7.12	0.14	-0.30	0.86	
1157.00	285.00	-5.18	27.82	-6.25	0.18	-0.31	0.94	
1220.00	285.00	-2.56	27.83	-4.45	0.22	-0.36	0.99	
1283.00	285.00	-0.00	27.85	-3.43	0.21	-0.39	0.95	
1346.00	285.00	2.55	27.85	-3.83	0.21	-0.39	0.93	
1409.00	285.00	5.11	27.86	-4.00	0.22	-0.39	0.93	
1472.00	285.00	7.68	27.88	-4.25	0.22	-0.39	0.94	
1535.00	285.00	10.34	27.89	-5.72	0.20	-0.37	0.89	
1598.00	285.00	13.09	27.91	-7.69	0.16	-0.35	0.83	
1661.00	285.00	15.89	27.94	-9.42	0.15	-0.34	0.82	
1724.00	285.00	18.83	27.97	-11.89	0.10	-0.31	0.76	
1787.00	285.00	21.89	28.00	-14.62	0.06	-0.27	0.74	
905.00	348.00	-16.12	25.22	-11.98	0.23	-0.24	0.58	
968.00	348.00	-13.24	25.22	-9.50	0.19	-0.27	0.69	
1031.00	348.00	-10.49	25.21	-8.06	0.19	-0.29	0.76	
1094.00	348.00	-7.79	25.21	-6.40	0.18	-0.30	0.84	
1157.00	348.00	-5.14	25.23	-4.64	0.21	-0.34	0.88	
1220.00	348.00	-2.55	25.32	-3.04	0.21	-0.39	0.88	
1283.00	348.00	-0.01	25.32	-2.44	0.22	-0.42	0.88	
1346.00	348.00	2.53	25.32	-2.54	0.22	-0.43	0.87	
1409.00	348.00	5.08	25.32	-2.73	0.23	-0.43	0.87	
1472.00	348.00	7.60	25.35	-2.39	0.21	-0.42	0.86	
