Date : 2024/09/17 16:56:10
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 11
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	0.19	-0.14	1.09	
1346.00	33.00	2.67	38.45	-11.36	0.22	-0.14	1.11	
1409.00	33.00	5.30	38.38	-10.66	0.24	-0.15	1.12	
1472.00	33.00	8.04	38.52	-12.67	0.24	-0.16	1.08	
1535.00	33.00	10.82	38.67	-14.29	0.20	-0.17	1.00	
1031.00	96.00	-10.73	35.89	-13.38	0.25	-0.10	1.09	
1094.00	96.00	-7.96	35.82	-11.58	0.22	-0.11	1.10	
1157.00	96.00	-5.26	35.74	-10.32	0.20	-0.12	1.11	
1220.00	96.00	-2.61	35.71	-9.69	0.20	-0.12	1.13	
1283.00	96.00	0.01	35.68	-9.27	0.22	-0.13	1.16	
1346.00	96.00	2.63	35.66	-8.85	0.25	-0.16	1.14	
1409.00	96.00	5.22	35.64	-8.25	0.27	-0.18	1.14	
1472.00	96.00	7.90	35.72	-9.58	0.28	-0.19	1.13	
1535.00	96.00	10.64	35.83	-11.27	0.27	-0.20	1.08	
1598.00	96.00	13.49	35.97	-13.52	0.21	-0.19	0.97	
1661.00	96.00	16.42	36.08	-15.86	0.12	-0.19	0.80	
968.00	159.00	-13.42	33.18	-13.00	0.27	-0.12	0.99	
1031.00	159.00	-10.59	33.09	-10.82	0.23	-0.15	0.99	
1094.00	159.00	-7.87	33.08	-9.24	0.18	-0.17	0.97	
1157.00	159.00	-5.21	33.05	-8.19	0.19	-0.17	1.01	
1220.00	159.00	-2.59	33.02	-7.76	0.20	-0.17	1.05	
1283.00	159.00	0.01	33.00	-7.27	0.21	-0.18	1.06	
1346.00	159.00	2.59	32.99	-6.78	0.25	-0.21	1.08	
1409.00	159.00	5.15	32.97	-6.02	0.26	-0.23	1.06	
1472.00	159.00	7.80	33.05	-7.38	0.26	-0.24	1.04	
1535.00	159.00	10.50	33.10	-8.74	0.26	-0.25	1.00	
1598.00	159.00	13.29	33.20	-10.71	0.25	-0.24	0.97	
1661.00	159.00	16.20	33.31	-13.21	0.16	-0.21	0.82	
1724.00	159.00	19.08	33.38	-14.75	0.09	-0.20	0.70	
968.00	222.00	-13.29	30.47	-10.92	0.24	-0.14	0.81	
1031.00	222.00	-10.51	30.42	-9.11	0.17	-0.19	0.78	
1094.00	222.00	-7.82	30.46	-7.84	0.17	-0.20	0.88	
1157.00	222.00	-5.19	30.41	-7.08	0.18	-0.20	0.90	
1220.00	222.00	-2.58	30.39	-6.29	0.21	-0.21	0.95	
1283.00	222.00	0.00	30.43	-5.08	0.25	-0.24	1.02	
1346.00	222.00	2.56	30.38	-4.72	0.22	-0.27	0.96	
1409.00	222.00	5.13	30.39	-4.89	0.23	-0.27	0.94	
1472.00	222.00	7.74	30.43	-5.87	0.23	-0.26	0.93	
1535.00	222.00	10.43	30.49	-7.46	0.22	-0.26	0.88	
1598.00	222.00	13.17	30.53	-8.97	0.21	-0.26	0.84	
1661.00	222.00	16.03	30.59	-11.15	0.18	-0.24	0.79	
1724.00	222.00	18.98	30.68	-13.55	0.11	-0.22	0.68	
905.00	285.00	-16.06	27.89	-11.67	0.27	-0.13	0.62	
968.00	285.00	-13.23	27.84	-9.81	0.22	-0.17	0.65	
1031.00	285.00	-10.47	27.80	-8.14	0.18	-0.20	0.68	
1094.00	285.00	-7.81	27.83	-7.12	0.16	-0.22	0.76	
1157.00	285.00	-5.18	27.82	-6.25	0.20	-0.22	0.86	
1220.00	285.00	-2.56	27.83	-4.45	0.22	-0.26	0.89	
1283.00	285.00	-0.00	27.85	-3.43	0.20	-0.29	0.85	
