Date : 2024/09/17 16:56:12
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 15
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1283.00	33.00	0.02	38.44	-11.74	0.13	-0.22	0.82	
1346.00	33.00	2.67	38.45	-11.36	0.13	-0.18	0.85	
1409.00	33.00	5.30	38.38	-10.66	0.10	-0.15	0.81	
1472.00	33.00	8.04	38.52	-12.67	0.05	-0.13	0.76	
1535.00	33.00	10.82	38.67	-14.29	-0.07	-0.16	0.65	
1031.00	96.00	-10.73	35.89	-13.38	0.03	-0.18	0.61	
1094.00	96.00	-7.96	35.82	-11.58	0.10	-0.22	0.73	
1157.00	96.00	-5.26	35.74	-10.32	0.17	-0.25	0.85	
1220.00	96.00	-2.61	35.71	-9.69	0.17	-0.23	0.84	
1283.00	96.00	0.01	35.68	-9.27	0.17	-0.20	0.83	
1346.00	96.00	2.63	35.66	-8.85	0.16	-0.15	0.82	
1409.00	96.00	5.22	35.64	-8.25	0.15	-0.11	0.81	
1472.00	96.00	7.90	35.72	-9.58	0.11	-0.09	0.75	
1535.00	96.00	10.64	35.83	-11.27	0.02	-0.11	0.68	
1598.00	96.00	13.49	35.97	-13.52	-0.16	-0.21	0.48	
1661.00	96.00	16.42	36.08	-15.86	-0.26	-0.22	0.34	
968.00	159.00	-13.42	33.18	-13.00	0.04	-0.17	0.59	
1031.00	159.00	-10.59	33.09	-10.82	0.14	-0.21	0.73	
1094.00	159.00	-7.87	33.08	-9.24	0.25	-0.25	0.89	
1157.00	159.00	-5.21	33.05	-8.19	0.27	-0.24	0.91	
1220.00	159.00	-2.59	33.02	-7.76	0.29	-0.22	0.93	
1283.00	159.00	0.01	33.00	-7.27	0.28	-0.17	0.91	
1346.00	159.00	2.59	32.99	-6.78	0.30	-0.11	0.96	
1409.00	159.00	5.15	32.97	-6.02	0.28	-0.02	0.94	
1472.00	159.00	7.80	33.05	-7.38	0.25	0.03	0.91	
1535.00	159.00	10.50	33.10	-8.74	0.18	0.03	0.85	
1598.00	159.00	13.29	33.20	-10.71	0.09	-0.05	0.78	
1661.00	159.00	16.20	33.31	-13.21	-0.14	-0.16	0.48	
1724.00	159.00	19.08	33.38	-14.75	-0.20	-0.16	0.43	
968.00	222.00	-13.29	30.47	-10.92	0.07	-0.19	0.49	
1031.00	222.00	-10.51	30.42	-9.11	0.27	-0.24	0.80	
1094.00	222.00	-7.82	30.46	-7.84	0.34	-0.24	0.91	
1157.00	222.00	-5.19	30.41	-7.08	0.36	-0.22	0.91	
1220.00	222.00	-2.58	30.39	-6.29	0.41	-0.20	0.99	
1283.00	222.00	0.00	30.43	-5.08	0.45	-0.17	1.11	
1346.00	222.00	2.56	30.38	-4.72	0.39	-0.04	1.05	
1409.00	222.00	5.13	30.39	-4.89	0.39	0.07	1.10	
1472.00	222.00	7.74	30.43	-5.87	0.41	0.15	1.16	
1535.00	222.00	10.43	30.49	-7.46	0.38	0.17	1.14	
1598.00	222.00	13.17	30.53	-8.97	0.26	0.15	0.96	
1661.00	222.00	16.03	30.59	-11.15	0.07	0.01	0.70	
1724.00	222.00	18.98	30.68	-13.55	-0.10	-0.12	0.56	
905.00	285.00	-16.06	27.89	-11.67	0.05	-0.18	0.31	
968.00	285.00	-13.23	27.84	-9.81	0.22	-0.22	0.57	
1031.00	285.00	-10.47	27.80	-8.14	0.36	-0.24	0.77	
1094.00	285.00	-7.81	27.83	-7.12	0.39	-0.24	0.78	
1157.00	285.00	-5.18	27.82	-6.25	0.45	-0.22	0.86	
1220.00	285.00	-2.56	27.83	-4.45	0.54	-0.24	0.99	
1283.00	285.00	-0.00	27.85	-3.43	0.46	-0.15	0.97	
1346.00	285.00	2.55	27.85	-3.83	0.47	-0.00	1.16	
1409.00	285.00	5.11	27.86	-4.00	0.53	0.15	1.38	
1472.00	285.00	7.68	27.88	-4.25	0.57	0.32	1.49	
1535.00	285.00	10.34	27.89	-5.72	0.62	0.31	1.56	
1598.00	285.00	13.09	27.91	-7.69	0.59	0.27	1.40	
1661.00	285.00	15.89	27.94	-9.42	0.43	0.18	1.10	
1724.00	285.00	18.83	27.97	-11.89	0.11	0.00	0.78	
1787.00	285.00	21.89	28.00	-14.62	-0.05	-0.07	0.64	
905.00	348.00	-16.12	25.22	-11.98	0.15	-0.19	0.36	
968.00	348.00	-13.24	25.22	-9.50	0.33	-0.21	0.63	
1031.00	348.00	-10.49	25.21	-8.06	0.43	-0.22	0.69	
1094.00	348.00	-7.79	25.21	-6.40	0.47	-0.23	0.67	
1157.00	348.00	-5.14	25.23	-4.64	0.58	-0.25	0.83	
1220.00	348.00	-2.55	25.32	-3.04	0.60	-0.27	0.88	
1283.00	348.00	-0.01	25.32	-2.44	0.59	-0.19	0.99	
1346.00	348.00	2.53	25.32	-2.54	0.57	-0.01	1.23	
1409.00	348.00	5.08	25.32	-2.73	0.61	0.20	1.58	
1472.00	348.00	7.60	25.35	-2.39	0.62	0.44	1.73	
1535.00	348.00	10.26	25.33	-4.23	0.83	0.59	1.94	
1598.00	348.00	12.96	25.35	-5.73	0.88	0.57	1.79	
1661.00	348.00	15.73	25.35	-7.48	0.80	0.41	1.47	
1724.00	348.00	18.68	25.32	-10.15	0.40	0.13	1.10	
1787.00	348.00	21.76	25.30	-13.18	0.00	-0.03	0.63	
842.00	411.00	-18.76	22.55	-10.99	0.11	-0.13	0.21	
905.00	411.00	-16.14	22.50	-11.72	0.23	-0.17	0.35	
968.00	411.00	-13.29	22.55	-9.78	0.38	-0.19	0.56	
1031.00	411.00	-10.52	22.60	-8.07	0.47	-0.21	0.57	
1094.00	411.00	-7.79	22.66	-5.97	0.56	-0.23	0.61	
1157.00	411.00	-5.12	22.74	-3.62	0.64	-0.25	0.74	
1220.00	411.00	-2.54	22.81	-1.92	0.69	-0.26	0.84	
1283.00	411.00	-0.01	22.85	-1.14	0.64	-0.21	0.88	
1346.00	411.00	2.52	22.86	-1.38	0.62	-0.03	1.17	
1409.00	411.00	5.05	22.84	-1.71	0.68	0.22	1.71	
1472.00	411.00	7.57	22.85	-1.43	0.76	0.46	2.10	
1535.00	411.00	10.22	22.80	-3.21	0.95	0.71	2.28	
1598.00	411.00	12.91	22.81	-4.70	1.22	0.77	2.36	
1661.00	411.00	15.63	22.81	-6.10	1.16	0.59	1.97	
1724.00	411.00	18.54	22.72	-8.62	0.77	0.26	1.61	
1787.00	411.00	21.62	22.63	-11.76	0.16	-0.01	0.92	
842.00	474.00	-18.76	19.89	-10.61	0.19	-0.10	0.22	
905.00	474.00	-16.11	19.84	-11.00	0.28	-0.14	0.30	
968.00	474.00	-13.30	19.89	-9.49	0.40	-0.16	0.42	
1031.00	474.00	-10.49	20.03	-7.15	0.51	-0.19	0.50	
1094.00	474.00	-7.73	20.21	-4.37	0.61	-0.22	0.59	
1157.00	474.00	-5.10	20.25	-2.56	0.67	-0.25	0.63	
1220.00	474.00	-2.53	20.36	-0.56	0.70	-0.25	0.76	
1283.00	474.00	-0.01	20.42	0.29	0.65	-0.21	0.77	
1346.00	474.00	2.50	20.40	-0.11	0.63	-0.06	1.00	
1409.00	474.00	5.02	20.36	-0.48	0.74	0.09	1.58	
1472.00	474.00	7.53	20.41	-0.37	0.64	0.24	1.72	
1535.00	474.00	10.16	20.34	-1.98	1.01	0.48	2.46	
1598.00	474.00	12.83	20.27	-3.40	1.24	0.55	2.42	
1661.00	474.00	15.56	20.23	-4.98	1.13	0.45	1.90	
1724.00	474.00	18.43	20.16	-7.25	0.93	0.30	1.80	
1787.00	474.00	21.47	20.01	-10.27	0.14	0.04	0.85	
842.00	537.00	-18.66	17.35	-9.28	0.23	-0.08	0.02	
905.00	537.00	-16.03	17.27	-9.75	0.28	-0.11	0.11	
968.00	537.00	-13.25	17.32	-8.51	0.41	-0.15	0.32	
1031.00	537.00	-10.39	17.58	-5.17	0.57	-0.17	0.54	
1094.00	537.00	-7.69	17.70	-2.97	0.60	-0.20	0.53	
1157.00	537.00	-5.07	17.79	-1.13	0.68	-0.24	0.57	
1220.00	537.00	-2.52	17.85	0.33	0.66	-0.23	0.64	
1283.00	537.00	-0.02	17.98	1.43	0.59	-0.20	0.64	
1346.00	537.00	2.48	17.98	1.26	0.61	-0.13	0.82	
1409.00	537.00	5.00	17.94	0.51	0.66	-0.01	1.21	
1472.00	537.00	7.50	17.94	0.66	0.65	0.01	1.47	
1535.00	537.00	10.10	17.89	-0.76	0.77	0.09	1.89	
1598.00	537.00	12.73	17.82	-1.89	0.94	0.16	1.87	
1661.00	537.00	15.46	17.72	-3.61	0.99	0.20	1.76	
1724.00	537.00	18.29	17.60	-5.72	0.71	0.14	1.35	
1787.00	537.00	21.37	17.41	-9.06	0.16	0.07	0.87	
905.00	600.00	-15.89	14.76	-7.88	0.36	-0.11	0.14	
968.00	600.00	-13.14	14.85	-6.59	0.45	-0.14	0.32	
1031.00	600.00	-10.33	15.08	-3.73	0.55	-0.17	0.49	
1094.00	600.00	-7.67	15.15	-2.16	0.57	-0.19	0.47	
1157.00	600.00	-5.05	15.38	0.13	0.64	-0.21	0.55	
1220.00	600.00	-2.51	15.49	1.58	0.60	-0.21	0.53	
1283.00	600.00	-0.02	15.57	2.23	0.57	-0.20	0.59	
1346.00	600.00	2.48	15.50	1.59	0.59	-0.16	0.71	
1409.00	600.00	4.99	15.46	1.14	0.61	-0.10	0.93	
1472.00	600.00	7.48	15.49	1.32	0.58	-0.10	1.09	
1535.00	600.00	10.06	15.42	0.32	0.63	-0.07	1.37	
1598.00	600.00	12.67	15.33	-0.80	0.73	-0.04	1.44	
1661.00	600.00	15.38	15.24	-2.42	0.70	-0.02	1.33	
1724.00	600.00	18.26	15.04	-5.02	0.45	0.04	1.04	
1787.00	600.00	21.29	14.81	-8.05	0.08	0.03	0.65	
968.00	663.00	-13.01	12.42	-4.61	0.44	-0.13	0.25	
1031.00	663.00	-10.26	12.64	-2.29	0.50	-0.15	0.36	
1094.00	663.00	-7.61	12.65	-0.48	0.57	-0.17	0.47	
1157.00	663.00	-5.03	12.96	1.22	0.58	-0.18	0.51	
1220.00	663.00	-2.51	13.11	2.37	0.56	-0.19	0.48	
1283.00	663.00	-0.02	13.09	2.35	0.55	-0.18	0.55	
1346.00	663.00	2.48	13.01	1.77	0.58	-0.16	0.64	
1409.00	663.00	5.00	12.97	1.40	0.55	-0.12	0.72	
1472.00	663.00	7.50	12.97	1.37	0.56	-0.13	0.89	
1535.00	663.00	10.07	12.92	0.59	0.61	-0.09	1.10	
1598.00	663.00	12.67	12.85	-0.36	0.54	-0.09	1.03	
1661.00	663.00	15.37	12.70	-1.90	0.40	-0.08	0.75	
1724.00	663.00	18.28	12.43	-4.79	0.13	0.00	0.57	
1787.00	663.00	21.27	12.20	-7.51	0.01	0.03	0.51	
1850.00	663.00	24.40	11.92	-10.51	0.07	0.05	0.71	
968.00	726.00	-12.91	9.99	-2.87	0.44	-0.10	0.22	
1031.00	726.00	-10.15	10.27	-0.13	0.48	-0.12	0.29	
